Customer ID,Recency,Frequency,Monetary,R_Score,F_Score,M_Score,RFM_Score,Customer Segment
AA-10315,185,11,5563.56,1,2,4,7,Medium Value
AA-10375,20,15,1056.39,4,3,1,8,Medium Value
AA-10480,260,12,1790.5120000000002,1,2,2,5,Low Value
AA-10645,56,18,5086.9349999999995,3,4,4,11,High Value
AB-10015,416,6,886.156,1,1,1,3,Low Value
AB-10060,55,18,7755.62,3,4,4,11,High Value
AB-10105,42,20,14473.570999999998,3,4,4,11,High Value
AB-10150,42,12,966.71,3,2,1,6,Low Value
AB-10165,26,14,1113.838,4,3,1,8,Medium Value
AB-10255,167,14,914.5319999999999,2,3,1,6,Low Value
AB-10600,51,8,1515.862,3,1,2,6,Low Value
AC-10420,233,5,925.8,1,1,1,3,Low Value
AC-10450,12,9,5527.846,4,2,4,10,High Value
AC-10615,7,18,2537.6859999999997,4,4,3,11,High Value
AC-10660,283,6,657.316,1,1,1,3,Low Value
AD-10180,30,12,6106.88,4,2,4,10,High Value
AF-10870,42,16,2052.908,3,3,2,8,Medium Value
AF-10885,416,7,861.565,1,1,1,3,Low Value
AG-10270,279,14,2582.898,1,3,3,7,Medium Value
AG-10300,119,5,367.548,2,1,1,4,Low Value
AG-10330,9,9,660.972,4,2,1,7,Medium Value
AG-10390,115,8,200.945,2,1,1,4,Low Value
AG-10495,79,21,2356.855,2,4,3,9,Medium Value
AG-10525,846,9,1455.038,1,2,2,5,Low Value
AG-10675,98,15,3489.0396000000005,2,3,3,8,Medium Value
AG-10765,78,5,170.584,2,1,1,4,Low Value
AG-10900,97,21,4510.797,2,4,4,10,High Value
AH-10030,13,11,1744.7,4,2,2,8,Medium Value
AH-10075,35,20,3250.337,3,4,3,10,High Value
AH-10120,61,16,1735.5140000000001,3,3,2,8,Medium Value
AH-10195,56,8,1587.452,3,1,2,6,Low Value
AH-10210,7,13,4805.344,4,3,4,11,High Value
AH-10465,231,8,2495.3916,1,1,3,5,Low Value
AH-10585,22,5,738.504,4,1,1,6,Low Value
AH-10690,411,23,7888.294,1,4,4,9,Medium Value
AI-10855,14,18,4375.786,4,4,4,12,High Value
AJ-10780,76,15,4867.344,3,3,4,10,High Value
AJ-10795,167,21,4501.391,2,4,4,10,High Value
AJ-10945,86,10,1839.24,2,2,2,6,Low Value
AJ-10960,75,5,629.2479999999999,3,1,1,5,Low Value
AM-10360,29,12,814.012,4,2,1,7,Medium Value
AM-10705,163,22,5664.022,2,4,4,10,High Value
AO-10810,502,1,161.28,1,1,1,3,Low Value
AP-10720,42,19,1638.554,3,4,2,9,Medium Value
AP-10915,99,31,3323.556,2,4,3,9,Medium Value
AR-10345,112,5,1055.694,2,1,1,4,Low Value
AR-10405,126,7,2236.128,2,1,2,5,Low Value
AR-10510,15,7,264.86400000000003,4,1,1,6,Low Value
